coin_name,website,ip,org,city,country,region,loc,postal,timezone,ip_location_error,hostname,anycast
Viacoin,http://viacoin.org,104.21.81.179,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
BitcoinHD,http://www.btchd.org,18.178.243.146,"AS16509 Amazon.com, Inc.",Tokyo,JP,Tokyo,"35.6895,139.6917",151-0052,Asia/Tokyo,Error,ec2-18-178-243-146.ap-northeast-1.compute.amazonaws.com,
Quantum R L,https://theqrl.org,18.229.49.158,"AS16509 Amazon.com, Inc.",São Paulo,BR,São Paulo,"-23.5475,-46.6361",01000-000,America/Sao_Paulo,Error,ec2-18-229-49-158.sa-east-1.compute.amazonaws.com,
Ubiq,http://ubiqsmart.com,45.63.88.43,"AS20473 The Constant Company, LLC",San Jose,US,California,"37.3329,-121.8916",95113,America/Los_Angeles,Error,45.63.88.43.vultr.com,
Euno,https://www.euno.co,104.21.11.210,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
FlorinCoin,http://flo.cash,192.254.232.90,AS46606 Unified Layer,Glen Avon,US,California,"34.0117,-117.4848",91752,America/Los_Angeles,Error,192-254-232-90.unifiedlayer.com,
SmartCash,https://smartcash.cc,45.32.183.53,"AS20473 The Constant Company, LLC",London,GB,England,"51.5085,-0.1257",EC1A,Europe/London,Error,45.32.183.53.vultr.com,
ZelCash,https://zel.cash,104.21.85.5,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Zano,https://zano.org,192.241.200.111,"AS14061 DigitalOcean, LLC",San Francisco,US,California,"37.7309,-122.3886",94124,America/Los_Angeles,Error,,
DigitalNote,https://digitalnote.org,172.67.138.56,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Aryacoin,https://aryacoin.io,104.21.95.49,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
FolgoryCoin,https://flg.folgory.com,54.38.18.246,AS16276 OVH SAS,Roubaix,FR,Hauts-de-France,"50.6942,3.1746",59051 CEDEX 1,Europe/Paris,Error,ip246.ip-54-38-18.eu,
Xaya,https://xaya.io,104.26.4.99,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Xaya,https://xaya.io,104.26.4.99,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Peercoin,http://www.peercoin.net,76.76.21.21,"AS16509 Amazon.com, Inc.",Walnut,US,California,"34.0183,-117.8546",91789,America/Los_Angeles,Error,,
Callisto Network,https://callisto.network,104.21.63.233,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Gleec Coin,https://gleecoin.com,78.142.6.88,AS31083 Telepoint Ltd,Sofia,BG,Sofia-Capital,"42.6975,23.3241",1000,Europe/Sofia,Error,ip-142-88.telehouse.bg,
Emercoin,http://emercoin.com,172.67.190.13,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Fedoracoin,,,,,,,,,,Error,,
Unobtanium,http://unobtanium.uno,208.113.196.200,"AS26347 New Dream Network, LLC",Washington,US,"Washington, D.C.","38.8951,-77.0364",20045,America/New_York,Error,apache2-kip.monroe.dreamhost.com,
BurstCoin,https://www.burst-coin.org,217.160.0.49,AS8560 1&1 IONOS SE,Frankfurt am Main,DE,Hesse,"50.1155,8.6842",60311,Europe/Berlin,Error,217-160-0-49.elastic-ssl.ui-r.com,
ScPrime,https://scpri.me,35.209.108.226,AS15169 Google LLC,Council Bluffs,US,Iowa,"41.2619,-95.8608",51502,America/Chicago,Error,226.108.209.35.bc.googleusercontent.com,
StakeCubeCoin,https://stakecube.net,172.67.68.93,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Feathercoin,http://feathercoin.com,172.67.206.119,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
Aeon,http://www.aeon.cash,185.199.109.153,AS54113 Fastly,San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,,cdn-185-199-109-153.github.com,True
Bitcore,http://bitcore.cc,172.67.208.129,"AS13335 Cloudflare, Inc.",San Francisco,US,California,"37.7621,-122.3971",94107,America/Los_Angeles,Error,,True
